"","code_muni","ICB","populacao","qtd_empresas","area","disponibilidades","op_cred","emprestimos","fin","fin_agricultura_inv","fin_pecuaria_inv","fin_agricultura_com","fin_pecuaria_com","fin_agroindustrial","fin_imobiliarios","outras_op_cred","outros_cred","arr_mercantial","provisao_arr_mercantil","provisao_de_credito","ativos","depositos","poupanca","depositos_inter","relacoes_interfinanceiras","resultado","PLP","PLB","ICO","densidade_demografica","densidade_empresarial"
"63","1200344",1,11996,1.18575755001899e-321,10631,1194406,2214427,0,4473858,105947,0,-1443046,0,0,0,0,16163995,54597,0,1999969,200,72646,0,0,2714006,0,1,0.0328057777474715,0.75644508013284,1.12839808108362,0
"64","1200351",NA,17093,2.23811737566085e-321,8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.08680258820657,0
"65","1200385",0.70539109410134,33120,4.09086354756552e-321,3906,508902,73574771,0,336285,0,3528417,0,0,0,0,0,124300984,2961616,0,9822559,0,89918776,0,0,8393518,0,1,1.22214143214934,0.899833446057978,8.47926267281106,0
"66","1200393",NA,10735,1.21540148876947e-321,6446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.66537387527149,0
"67","1200401",0.488761723575158,8389388,1.14146456486932e-318,203205,29113589,973535655,37,1121557301,5451892,273172952,-94986218,0,0,0,45159635,4909750947,1177417002,0,430455317,114100,1766174393,54533,54533,442432720,0,0.999938251134355,1.81418562733586,0.485125531240099,41.2853423882286,4.94065645841247e-324
"68","1200427",NA,14938,5.7459834611337e-321,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.85630689206762,0
"69","1200435",NA,6723,1.48219693752374e-322,6156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.09210526315789,0
"70","1200450",0.997080095195416,42908,4.24896455423472e-321,4640,2224310,72937365,0,24064268,0,7186704,-2695912,0,0,0,0,157531233,6418931,0,10691045,2090,83796454,0,0,13580772,0,1,1.14888238696312,0.687978788644839,9.24741379310345,0
"71","1200500",0.666444904821494,124029,1.63189882821364e-320,71280,3629569,108708768,0,35283229,199051,8207943,-2498479,0,0,0,0,228180711,20017719,0,24363774,3670,94727624,0,0,18399618,0,1,0.871388994124191,0.642242882478104,1.74002525252525,0
"72","1200609",0.695180498206759,130401,1.09682573376757e-320,60507,5352269,92322163,5,27300543,990248,12488307,-3853077,0,0,0,0,268070609,10832889,0,24158502,1230,140986687,0,0,26707932,0,1,1.52711637616203,0.73080258759804,2.15513907481779,0
"73","1200708",1,18243,1.65511991356818e-321,5351,332090,26122286,0,0,0,14095,0,0,0,0,0,34706532,313238,0,4709850,0,22310575,0,0,1739666,0,1,0.854082027889902,0.981480739114251,3.40926929545879,0
"74","1200807",1,16693,2.01084717857387e-321,2604,677454,27611,0,12014004,81897,0,-1718028,0,0,0,0,22523838,12994,0,2571653,4720,94186,0,0,3543469,0,1,3.41117670493644,0.60423802607851,6.4105222734255,0
"75","1300029",NA,15866,2.14424490295101e-321,5923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.67871011311835,0
"76","1300060",NA,10819,2.18871081107672e-321,4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.27576777450568,0
"77","1300086",NA,9962,1.22676499862382e-320,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.07277187244481,4.94065645841247e-324
"78","1300102",NA,17194,8.38923466638437e-321,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.84857521537442,0
"79","1300144",1,20647,2.88534337171288e-321,54241,2168035,3038870,0,0,0,32161,0,0,0,0,0,28145847,8265304,0,3149179,0,2800000,0,0,1535450,0,1,0.921395123845377,0.647914521463756,0.380653011559521,0
"80","1300201",NA,15314,1.90709339294721e-321,76508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.200162074554295,0
"81","1300300",NA,83128,3.68474158668402e-320,15306,3430507,0,0,2253580,97753,36301,-1225593,0,0,0,0,37796871,6577949,0,2427437,150,1537655,0,0,3325560,0,1,0,0.712992078449206,5.43107278191559,0
"82","1300409",1,37668,3.43869689505508e-321,244922,6230676,326335,0,122783,0,1518887,0,0,0,0,0,42085598,4164476,0,4376569,0,21357231,0,0,3529056,0,1,65.4457260177425,0.780802042893374,0.153795902368917,0
"83","1300508",NA,31051,2.47032822920623e-321,5752,1761208,0,0,0,0,58819,0,0,0,0,0,11748274,1520332,0,1911616,0,1330000,0,0,1687491,0,1,0,0.790094628344417,5.39829624478442,0
"84","1300607",NA,37648,1.3379297689381e-320,8705,3592341,0,0,0,0,701838,0,0,0,0,0,25125098,4909342,0,5137955,0,0,0,0,2475679,0,0,0,0.69424338244444,4.32487076392878,0
"85","1300631",NA,20718,9.16985838681354e-321,17473,1242678,0,0,0,0,28998,0,0,0,0,0,13916292,3051703,0,5229959,0,0,0,0,1015334,0,0,0,0.702590796672965,1.18571510330224,0
"86","1300680",NA,23785,6.80822459969238e-321,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.18694476631904,4.94065645841247e-324
"87","1300706",0.75302972462095,106341,2.31815601028713e-320,65817,4560628,16245540,0,352134,0,4828225,0,0,0,0,0,83704520,5590578,0,11981652,0,28783786,0,0,7556783,0,1,1.77179619760254,0.791109562605109,1.61570718811249,0
"88","1300805",1,66160,2.75886256637752e-320,88472,6429909,5310414,58,352648,0,2642884,0,0,0,0,0,56398794,3655720,0,4656170,0,30900938,0,0,6418309,0,1,5.81893200793761,0.805293908795724,0.7478072158423,0
"89","1300839",NA,13469,5.85961855967718e-321,9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.42438663282572,0
"90","1300904",1,16869,7.38628140532664e-321,33643,1181634,132918,0,0,0,24760,0,0,0,0,0,16780149,4257562,0,1467441,0,767000,0,0,767944,0,1,5.77047502971757,0.67556840587263,0.501411883601343,0
